,model,fit_time,vectorizer,ngram_range,accuracy_train,precision_train,recall_train,f1_train,accuracy_test,precision_test,recall_test,f1_test
0,LogisticRegression,5.268803834915161,CountVectorizer,"(1, 1)",0.9812232348742725,0.9761993583526076,0.9853893658683537,0.9807728346014017,0.9493485580442103,0.9396192742415229,0.9566929133858267,0.948079231692677
1,LogisticRegression,4.320623159408569,CountVectorizer,"(1, 2)",0.9982431096958384,0.9968454258675079,0.9995481247175779,0.9981949458483754,0.9528619528619529,0.9408284023668639,0.9630526953361599,0.9518108350793175
2,LogisticRegression,4.259903907775879,CountVectorizer,"(2, 2)",0.995351561070239,0.991626168224299,0.9988703117939449,0.9952350579672082,0.9011857707509882,0.864962489580439,0.9427619624470018,0.9021880886827996
3,LogisticRegression,4.085406303405762,CountVectorizer,"(1, 3)",0.9993777680172761,0.998721323805942,1.0,0.99936025288827,0.9502269067486458,0.9373892498523332,0.9612356147789218,0.9491626794258373
4,LogisticRegression,3.0067636966705322,CountVectorizer,"(2, 3)",0.9979502946451447,0.9958002099895005,1.0,0.997895686156621,0.8970868101302883,0.8565157750342935,0.9454875832828589,0.8988052396718008
5,LogisticRegression,5.228066682815552,CountVectorizer,"(3, 3)",0.9952051535448923,0.9902304422402863,1.0,0.9950912429272679,0.7695798565363783,0.6869320640415405,0.9615384615384616,0.8013629480060576
6,RandomForestClassifier,84.56679558753967,HashingVectorizer,"(1, 1)",1.0,1.0,1.0,1.0,0.9486166007905138,0.9384843982169391,0.9563900666262871,0.9473526323683816
7,RandomForestClassifier,55.72900128364563,HashingVectorizer,"(1, 2)",1.0,1.0,1.0,1.0,0.9459815546772069,0.9381535703615178,0.9509388249545729,0.9445029327718454
8,RandomForestClassifier,150.99034237861633,HashingVectorizer,"(2, 2)",0.9998169905933165,1.0,0.9996234372646483,0.999811683175775,0.83399209486166,0.9195046439628483,0.7195639006662629,0.8073394495412844
9,RandomForestClassifier,47.95164108276367,HashingVectorizer,"(1, 3)",1.0,1.0,1.0,1.0,0.9451032059727712,0.9433504998485307,0.9430648092065415,0.943207632894139
10,RandomForestClassifier,134.45001411437988,HashingVectorizer,"(2, 3)",0.9998169905933165,1.0,0.9996234372646483,0.999811683175775,0.825501390718782,0.9176563737133808,0.7019987886129618,0.7954701441317776
11,RandomForestClassifier,213.2283070087433,HashingVectorizer,"(3, 3)",0.9990849529665825,1.0,0.9981171863232414,0.9990577060796804,0.6353388962084614,0.9336898395721925,0.26438522107813445,0.4120840217134765
