,model,accuracy,precision,recall,f1
0,mrm8488/bert-tiny-finetuned-fake-news-detection,0.4652143359100492,0.4748190681260841,0.957599517490953,0.6348514534767483
1,jy46604790/Fake-News-Bert-Detect,0.6523190442726634,0.9831622176591376,0.2887816646562123,0.4464335664335664
2,yasmine-11/distilbert_fake_news,0.4844258994912338,0.48506469500924215,0.9881759301099563,0.6507141440190438
